Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Italy","NET.IT281A","RETE REGIONALE QUALITA' ARIA DEL VENETO","IT2243A","VR- Giarol Grande","SPO.IT2243A_6001_BETA_2016-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-daysAbove50","1 year day exceed 50","2024","24.000","count","97.27","1","Background","Urban","11.0301","45.4330","48.0","Verona                                                                          ","IT012C1                                           ","259087","E1a/validated data AQ e-Reporting","10/02/2026 23:02:38","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT2243A_6001_BETA_2016-01-01_00_00_00.parquet","day"
"Italy","NET.IT281A","RETE REGIONALE QUALITA' ARIA DEL VENETO","IT2243A","VR- Giarol Grande","SPO.IT2243A_6001_BETA_2016-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P3Y","3 subsequent calendar years mean","2024","19.161","ug/m3","94.25","1","Background","Urban","11.0301","45.4330","48.0","Verona                                                                          ","IT012C1                                           ","259087","E1a/validated data AQ e-Reporting","10/02/2026 23:04:51","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT2243A_6001_BETA_2016-01-01_00_00_00.parquet","day"
"Italy","NET.IT280A","RETE MONITORAGGIO ARIA REGIONE SARDEGNA","IT2010A","CENPT1","SPO.IT2010A_6001_BETA_2012-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-3daysAbove50","3 consecutive days in exceedance of 50","2024","0.000","count","90.44","1","Background","Urban","8.4053","40.8314","16.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:01:17","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT2010A_6001_BETA_2012-01-01_00_00_00.parquet","day"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT0459A","CHIARAVALLE2","SPO.IT0459A_6001_BETA_2006-02-20_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2024","18.346","ug/m3","87.43","1","Background","Suburban","13.3419","43.5989","15.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:02:14","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0459A_6001_BETA_2006-02-20_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT0459A","CHIARAVALLE2","SPO.IT0459A_6001_BETA_2006-02-20_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-daysAbove25","1 year day exceed 25","2024","68.000","count","87.43","1","Background","Suburban","13.3419","43.5989","15.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:02:27","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0459A_6001_BETA_2006-02-20_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT0459A","CHIARAVALLE2","SPO.IT0459A_6001_BETA_2006-02-20_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-hr-min","1 year hour min","2024","1.100","ug/m3","88.87","1","Background","Suburban","13.3419","43.5989","15.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:03:46","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0459A_6001_BETA_2006-02-20_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT0461A","FALCONARA SCUOLA","SPO.IT0461A_6001_BETA_2005-11-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-hr-per50","1 year 50 percentile","2024","15.100","ug/m3","90.46","1","Industrial","Suburban","13.3875","43.6333","10.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:03:53","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0461A_6001_BETA_2005-11-01_00_00_00.parquet","hour"
"Italy","NET.IT282A","RETE REGIONALE QUALIT� ARIA AMBIENTE","IT0461A","FALCONARA SCUOLA","SPO.IT0461A_6001_BETA_2005-11-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-P1D-per99","1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day","2024","44.229","ug/m3","90.71","1","Industrial","Suburban","13.3875","43.6333","10.0","","","","E1a/validated data AQ e-Reporting","10/02/2026 23:04:44","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0461A_6001_BETA_2005-11-01_00_00_00.parquet","hour"
"Italy","NET.IT280A","RETE MONITORAGGIO ARIA REGIONE SARDEGNA","IT2009A","CENS16","SPO.IT2009A_6001_BETA_2012-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-day-max","1 year day max","2024","45.000","ug/m3","95.90","1","Background","Urban","8.5761","40.7244","275.0","Sassari                                                                         ","IT026C1                                           ","125273","E1a/validated data AQ e-Reporting","10/02/2026 23:01:43","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT2009A_6001_BETA_2012-01-01_00_00_00.parquet","day"
"Italy","NET.IT280A","RETE MONITORAGGIO ARIA REGIONE SARDEGNA","IT2009A","CENS16","SPO.IT2009A_6001_BETA_2012-01-01_00:00:00","PM2.5","Particulate matter < 2.5 µm (aerosol)","P1Y-P1D-per99","1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day","2024","18.200","ug/m3","95.90","1","Background","Urban","8.5761","40.7244","275.0","Sassari                                                                         ","IT026C1                                           ","125273","E1a/validated data AQ e-Reporting","10/02/2026 23:04:44","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT2009A_6001_BETA_2012-01-01_00_00_00.parquet","day"
